train_speed_kmh,distance_to_obstacle_km,environmental_condition,weather_alert,severity_score,obstruction_type,alternative_route_available,communication_latency_ms,signal_quality_percent,sensor_type,axle_balance,ahead_section_status,known_train_schedule,distance_from_station_km,create_repair_defect,corridor,action
148,13.944,rain,True,3,environmental_false_positive,False,1435,78,vibration,0.0,CLEAR,True,39.288,False,KOL-HOW,proceed_with_caution
99,10.223,rain,False,8,unknown_obstruction,True,704,36,vibration,0.0,CLEAR,True,9.956,True,MUM-PUNE,reduce_speed
63,9.108,heavy_rain,False,5,unknown_obstruction,False,4059,51,axle_counter,0.0,OCCUPIED,False,44.273,False,MUM-PUNE,proceed_with_caution
177,9.291,flood,True,8,boulder,False,3816,85,vibration,95.0,CLEAR,False,25.239,False,HYB-SEC,reduce_speed
166,9.001,clear,False,7,stranded_vehicle,False,4280,62,axle_counter,0.0,OCCUPIED,True,16.792,False,DEL-AGRA,reduce_speed
84,14.128,clear,True,5,signal_cable_theft,False,520,26,accelerometer,0.0,OCCUPIED,False,19.019,True,KOL-HOW,proceed_with_caution
152,10.764,rain,False,7,fallen_tree,False,2245,55,accelerometer,2.9,CLEAR,False,36.209,False,MUM-PUNE,reduce_speed
145,11.838,heavy_rain,False,2,cattle_crossing,True,3792,23,track_circuit,26.02,CLEAR,True,38.061,False,CHN-BGLR,proceed_with_caution
49,14.98,clear,True,8,fallen_tree,False,339,96,track_circuit,0.0,OCCUPIED,True,11.927,False,DEL-AGRA,proceed_with_caution
110,15.338,clear,True,6,unknown_obstruction,False,1351,39,track_circuit,57.87,CLEAR,False,18.765,False,MUM-PUNE,reduce_speed
107,2.038,fog,False,7,sensor_miscount,False,4646,100,track_circuit,34.72,CLEAR,True,32.377,True,CHN-BGLR,reduce_speed
137,12.712,clear,False,6,cattle_crossing,True,4284,83,vibration,61.59,CLEAR,False,29.624,False,MUM-PUNE,reduce_speed
160,4.877,clear,False,6,cattle_crossing,False,4059,41,axle_counter,48.75,OCCUPIED,True,44.016,False,KOL-HOW,reduce_speed
93,1.712,heavy_rain,False,5,equipment_failure_ahead,True,3910,82,accelerometer,0.0,CLEAR,True,34.589,False,HYB-SEC,reroute
133,8.51,heavy_rain,False,4,unknown_obstruction,False,2521,32,axle_counter,0.0,CLEAR,False,47.544,False,MUM-PUNE,proceed_with_caution
195,19.532,rain,True,4,boulder,False,2436,29,vibration,0.0,OCCUPIED,True,2.276,True,KOL-HOW,proceed_with_caution
170,2.052,clear,True,4,broken_rail,False,1520,6,vibration,94.11,CLEAR,True,24.587,False,DEL-AGRA,proceed_with_caution
122,1.704,snow,True,5,cattle_crossing,False,1858,99,accelerometer,45.05,CLEAR,True,21.441,False,DEL-AGRA,reduce_speed
98,12.51,fog,True,2,fallen_tree,True,624,20,track_circuit,40.85,CLEAR,True,35.348,False,CHN-BGLR,reduce_speed
112,15.757,clear,False,6,fallen_tree,False,4471,28,axle_counter,0.0,CLEAR,True,15.381,False,HYB-SEC,reduce_speed
164,13.774,rain,False,8,signal_cable_theft,False,3596,10,track_circuit,88.94,CLEAR,True,11.446,False,HYB-SEC,reduce_speed
113,11.525,clear,False,3,signal_cable_theft,False,2288,23,accelerometer,63.48,OCCUPIED,True,20.417,False,DEL-AGRA,proceed_with_caution
171,5.764,rain,False,7,signal_cable_theft,True,731,40,vibration,32.33,OCCUPIED,False,0.058,False,CHN-BGLR,reduce_speed
137,12.453,clear,False,5,landslide_debris,True,4509,16,vibration,43.81,CLEAR,False,30.444,False,MUM-PUNE,reroute
149,1.864,clear,False,8,broken_rail,False,1271,63,vibration,50.89,CLEAR,True,23.611,False,MUM-PUNE,reduce_speed
175,14.926,flood,True,2,equipment_failure_ahead,False,3409,43,vibration,82.05,OCCUPIED,False,28.996,False,MUM-PUNE,proceed_with_caution
130,11.038,rain,True,5,water_logging,False,1966,73,accelerometer,23.36,CLEAR,False,35.261,False,CHN-BGLR,proceed_with_caution
83,9.907,snow,True,5,sensor_miscount,False,832,56,track_circuit,52.6,CLEAR,True,43.547,False,DEL-AGRA,reduce_speed
131,12.465,flood,True,2,water_logging,False,4381,48,vibration,62.68,OCCUPIED,True,3.421,False,KOL-HOW,proceed_with_caution
156,19.567,fog,False,6,boulder,False,2463,3,track_circuit,0.0,CLEAR,True,7.278,False,HYB-SEC,reduce_speed
89,1.579,clear,False,6,fallen_tree,False,4787,18,axle_counter,46.11,CLEAR,True,44.945,False,KOL-HOW,reduce_speed
158,18.905,clear,False,4,cattle_crossing,False,3752,38,axle_counter,99.94,CLEAR,True,17.948,False,KOL-HOW,emergency_stop
47,11.319,rain,False,6,landslide_debris,False,4079,36,axle_counter,60.71,CLEAR,True,12.531,False,MUM-PUNE,reduce_speed
55,6.179,flood,True,5,unknown_obstruction,True,2427,41,accelerometer,0.0,OCCUPIED,False,18.293,False,KOL-HOW,reroute
168,19.348,clear,True,7,equipment_failure_ahead,True,626,18,axle_counter,86.01,OCCUPIED,False,18.289,False,DEL-AGRA,reduce_speed
139,13.457,clear,False,6,environmental_false_positive,False,897,86,axle_counter,47.15,OCCUPIED,True,3.161,False,KOL-HOW,reduce_speed
56,18.925,clear,False,5,boulder,True,4413,17,accelerometer,45.36,CLEAR,False,44.271,False,CHN-BGLR,reroute
116,0.654,flood,True,5,fallen_tree,False,823,87,vibration,54.45,CLEAR,True,48.41,False,CHN-BGLR,proceed_with_caution
197,19.422,clear,True,4,track_buckling,False,1691,8,axle_counter,0.0,CLEAR,True,45.027,True,MUM-PUNE,proceed_with_caution
89,2.199,heavy_rain,False,3,water_logging,False,1959,75,vibration,1.58,CLEAR,False,26.304,False,CHN-BGLR,proceed_with_caution
196,2.181,rain,True,8,landslide_debris,False,4281,38,accelerometer,0.0,CLEAR,True,20.081,False,CHN-BGLR,reduce_speed
65,6.442,rain,True,2,sensor_miscount,False,4502,91,vibration,38.09,CLEAR,True,4.959,False,HYB-SEC,proceed_with_caution
160,17.762,clear,False,7,cattle_crossing,False,788,40,accelerometer,31.25,CLEAR,True,46.149,True,DEL-AGRA,reduce_speed
140,16.235,clear,False,6,signal_cable_theft,False,1011,52,vibration,87.36,OCCUPIED,False,48.42,False,KOL-HOW,reduce_speed
84,13.135,heavy_rain,True,2,signal_cable_theft,False,2292,73,axle_counter,0.0,CLEAR,True,34.674,True,KOL-HOW,reduce_speed
131,7.02,rain,True,3,environmental_false_positive,False,1172,94,track_circuit,0.0,CLEAR,True,7.87,False,KOL-HOW,proceed_with_caution
66,17.667,heavy_rain,True,6,landslide_debris,False,2239,56,accelerometer,48.57,CLEAR,True,25.617,False,DEL-AGRA,reduce_speed
169,10.539,fog,True,3,sensor_miscount,True,1684,38,axle_counter,76.73,CLEAR,True,24.869,False,MUM-PUNE,reduce_speed
173,11.174,fog,False,4,cattle_crossing,False,356,55,track_circuit,0.0,OCCUPIED,True,28.67,False,CHN-BGLR,proceed_with_caution
128,3.437,rain,False,5,unknown_obstruction,False,731,55,track_circuit,24.33,CLEAR,True,15.514,False,KOL-HOW,proceed_with_caution
74,10.612,clear,True,7,water_logging,False,1219,30,track_circuit,0.0,CLEAR,True,37.958,True,CHN-BGLR,reduce_speed
193,8.978,heavy_rain,False,5,environmental_false_positive,False,2657,80,vibration,0.0,CLEAR,True,39.816,False,KOL-HOW,proceed_with_caution
160,0.752,rain,True,4,environmental_false_positive,False,749,78,accelerometer,0.0,CLEAR,False,32.592,False,CHN-BGLR,proceed_with_caution
160,2.07,flood,False,4,unknown_obstruction,True,1423,5,axle_counter,70.76,CLEAR,True,18.195,False,CHN-BGLR,proceed_with_caution
198,1.047,rain,False,4,water_logging,True,3176,36,vibration,0.0,CLEAR,True,7.071,False,CHN-BGLR,proceed_with_caution
66,6.192,fog,True,7,track_buckling,False,4322,11,accelerometer,0.0,CLEAR,True,10.71,False,CHN-BGLR,reduce_speed
84,1.543,flood,False,2,equipment_failure_ahead,False,4323,4,vibration,0.0,CLEAR,True,9.042,False,HYB-SEC,proceed_with_caution
157,0.874,clear,False,6,broken_rail,False,3687,29,axle_counter,30.95,OCCUPIED,True,33.915,False,CHN-BGLR,emergency_stop
142,10.058,clear,False,3,fallen_tree,False,1143,32,track_circuit,64.12,CLEAR,True,42.295,False,KOL-HOW,proceed_with_caution
160,18.106,clear,True,5,fallen_tree,False,2873,3,accelerometer,5.33,CLEAR,False,18.746,True,DEL-AGRA,proceed_with_caution
82,2.752,fog,True,7,unknown_obstruction,False,3852,57,track_circuit,0.0,CLEAR,False,27.44,False,HYB-SEC,reduce_speed
105,6.023,snow,True,5,equipment_failure_ahead,False,524,14,accelerometer,0.0,CLEAR,True,35.927,False,DEL-AGRA,reduce_speed
151,3.746,clear,False,5,water_logging,True,4319,69,track_circuit,39.05,CLEAR,True,18.665,False,KOL-HOW,reroute
71,15.43,rain,False,4,landslide_debris,False,2783,82,axle_counter,83.04,OCCUPIED,True,9.114,True,CHN-BGLR,reduce_speed
96,17.716,clear,False,4,cattle_crossing,False,4458,60,vibration,0.0,CLEAR,False,2.39,False,KOL-HOW,proceed_with_caution
147,14.866,rain,False,4,track_buckling,False,4085,47,vibration,80.11,CLEAR,True,41.117,False,KOL-HOW,proceed_with_caution
120,6.13,rain,False,5,unknown_obstruction,False,3672,5,vibration,61.49,CLEAR,False,47.395,True,CHN-BGLR,proceed_with_caution
85,19.056,snow,True,6,equipment_failure_ahead,False,1044,8,axle_counter,77.85,CLEAR,False,1.619,True,CHN-BGLR,reduce_speed
64,11.478,rain,True,4,environmental_false_positive,True,939,3,axle_counter,49.9,OCCUPIED,True,38.748,False,MUM-PUNE,proceed_with_caution
170,4.004,clear,True,2,track_buckling,False,3656,11,vibration,0.0,CLEAR,True,14.998,True,MUM-PUNE,proceed_with_caution
76,19.703,heavy_rain,False,3,broken_rail,True,4548,73,vibration,0.0,CLEAR,True,15.465,False,CHN-BGLR,proceed_with_caution
192,1.475,snow,False,6,broken_rail,False,4248,44,axle_counter,0.0,OCCUPIED,True,25.143,False,DEL-AGRA,emergency_stop
86,6.453,rain,False,4,signal_cable_theft,False,656,32,axle_counter,63.51,CLEAR,True,26.674,False,MUM-PUNE,proceed_with_caution
88,13.175,heavy_rain,False,6,sensor_miscount,True,242,10,track_circuit,94.85,CLEAR,False,20.829,False,CHN-BGLR,reroute
122,9.659,heavy_rain,False,6,stranded_vehicle,False,500,20,accelerometer,41.56,CLEAR,True,15.629,False,KOL-HOW,reduce_speed
139,10.3,clear,True,3,boulder,True,2040,18,track_circuit,5.06,OCCUPIED,True,48.134,False,KOL-HOW,proceed_with_caution
93,15.262,fog,True,5,broken_rail,False,4084,2,track_circuit,94.52,OCCUPIED,True,17.645,True,CHN-BGLR,reduce_speed
165,5.715,snow,True,2,track_buckling,False,3006,97,accelerometer,36.59,CLEAR,True,18.126,False,CHN-BGLR,reduce_speed
116,16.506,snow,False,6,track_buckling,False,3236,47,vibration,55.78,OCCUPIED,True,25.456,False,DEL-AGRA,emergency_stop
166,10.387,rain,True,8,track_buckling,False,2619,20,accelerometer,99.06,CLEAR,True,25.486,False,HYB-SEC,reduce_speed
139,6.625,snow,True,5,stranded_vehicle,False,228,76,accelerometer,0.0,OCCUPIED,True,8.526,False,HYB-SEC,reduce_speed
107,0.631,rain,False,2,landslide_debris,False,3440,19,accelerometer,69.05,CLEAR,True,23.58,False,DEL-AGRA,proceed_with_caution
188,6.501,heavy_rain,False,5,water_logging,False,3775,68,vibration,54.63,CLEAR,True,12.326,False,MUM-PUNE,proceed_with_caution
118,14.098,flood,False,5,broken_rail,False,2250,36,track_circuit,57.35,OCCUPIED,True,17.257,False,MUM-PUNE,proceed_with_caution
65,6.927,clear,False,4,broken_rail,True,4422,34,vibration,0.0,CLEAR,True,26.552,False,DEL-AGRA,proceed_with_caution
165,2.011,rain,False,1,signal_cable_theft,False,1303,52,accelerometer,0.0,OCCUPIED,True,14.271,True,DEL-AGRA,proceed_with_caution
54,18.265,clear,True,8,track_buckling,False,307,50,accelerometer,18.63,OCCUPIED,True,28.398,True,KOL-HOW,proceed_with_caution
184,10.486,flood,False,3,signal_cable_theft,False,1589,14,vibration,16.25,CLEAR,False,0.704,False,KOL-HOW,proceed_with_caution
89,12.219,snow,False,5,cattle_crossing,False,720,51,track_circuit,0.0,CLEAR,False,0.342,False,CHN-BGLR,proceed_with_caution
122,11.649,flood,True,4,water_logging,False,518,85,track_circuit,0.0,CLEAR,True,44.756,False,KOL-HOW,proceed_with_caution
120,7.351,fog,True,8,broken_rail,True,4972,47,accelerometer,70.19,OCCUPIED,False,41.28,False,HYB-SEC,reduce_speed
159,10.563,clear,False,8,boulder,True,4496,64,axle_counter,0.0,CLEAR,False,22.092,False,HYB-SEC,reduce_speed
159,16.174,flood,True,5,broken_rail,False,4587,59,vibration,72.33,CLEAR,True,10.895,True,CHN-BGLR,proceed_with_caution
60,18.692,clear,True,8,landslide_debris,True,1484,98,axle_counter,76.58,CLEAR,False,22.427,False,CHN-BGLR,reduce_speed
183,2.66,fog,False,2,signal_cable_theft,False,1053,93,axle_counter,0.0,OCCUPIED,True,35.955,False,CHN-BGLR,proceed_with_caution
133,3.102,clear,True,7,equipment_failure_ahead,True,3444,78,track_circuit,0.0,CLEAR,True,29.889,False,DEL-AGRA,reduce_speed
157,4.687,clear,True,7,landslide_debris,True,2379,29,vibration,57.75,CLEAR,False,49.285,False,CHN-BGLR,reduce_speed
196,17.594,clear,False,6,cattle_crossing,False,394,44,accelerometer,78.58,CLEAR,True,14.994,True,HYB-SEC,reduce_speed
121,17.151,snow,True,5,landslide_debris,False,3422,71,axle_counter,38.84,CLEAR,True,46.111,False,DEL-AGRA,reduce_speed
58,5.369,snow,False,6,boulder,True,4823,92,axle_counter,47.94,CLEAR,False,10.59,True,DEL-AGRA,reduce_speed
107,13.913,snow,False,4,fallen_tree,False,2328,48,accelerometer,53.37,CLEAR,True,44.141,False,CHN-BGLR,proceed_with_caution
97,7.414,rain,True,5,fallen_tree,False,142,33,accelerometer,0.0,CLEAR,True,41.668,False,KOL-HOW,proceed_with_caution
170,9.217,snow,False,4,track_buckling,False,4010,23,track_circuit,0.0,OCCUPIED,True,38.217,False,MUM-PUNE,proceed_with_caution
100,10.115,clear,False,6,environmental_false_positive,False,3968,84,accelerometer,1.57,CLEAR,True,13.737,False,DEL-AGRA,reduce_speed
155,16.123,fog,False,2,boulder,False,1984,24,vibration,81.52,OCCUPIED,True,47.965,False,MUM-PUNE,proceed_with_caution
65,13.075,clear,False,6,boulder,False,3099,70,accelerometer,0.0,OCCUPIED,True,42.266,False,KOL-HOW,reduce_speed
69,17.896,snow,False,3,unknown_obstruction,False,3905,34,track_circuit,92.42,OCCUPIED,True,1.645,False,KOL-HOW,reduce_speed
146,18.577,heavy_rain,True,5,sensor_miscount,False,3197,86,vibration,0.0,OCCUPIED,True,3.921,False,KOL-HOW,reduce_speed
64,6.812,rain,False,8,cattle_crossing,False,2683,3,vibration,78.35,CLEAR,True,47.057,False,HYB-SEC,reduce_speed
120,15.961,clear,False,2,track_buckling,False,1273,94,accelerometer,0.0,CLEAR,False,22.237,False,DEL-AGRA,proceed_with_caution
159,11.14,clear,False,2,boulder,False,772,76,vibration,0.0,CLEAR,True,4.235,False,MUM-PUNE,proceed_with_caution
142,3.39,clear,True,4,track_buckling,True,3570,35,accelerometer,0.0,CLEAR,False,36.045,False,HYB-SEC,proceed_with_caution
122,0.135,clear,False,7,cattle_crossing,False,2709,56,vibration,0.0,CLEAR,True,34.765,False,MUM-PUNE,emergency_stop
119,14.697,flood,False,9,equipment_failure_ahead,True,3090,35,accelerometer,0.0,CLEAR,True,34.086,False,CHN-BGLR,reduce_speed
119,16.626,clear,True,7,equipment_failure_ahead,False,4100,17,vibration,0.0,OCCUPIED,False,3.698,False,CHN-BGLR,reduce_speed
152,10.873,heavy_rain,False,4,equipment_failure_ahead,False,706,13,axle_counter,65.76,CLEAR,True,28.161,False,CHN-BGLR,proceed_with_caution
155,2.119,rain,True,3,unknown_obstruction,False,4765,88,axle_counter,44.58,CLEAR,True,34.522,True,DEL-AGRA,proceed_with_caution
66,2.321,clear,False,3,stranded_vehicle,False,1704,66,accelerometer,0.0,CLEAR,True,15.945,False,DEL-AGRA,reroute
87,18.598,fog,False,5,signal_cable_theft,True,4596,54,accelerometer,23.19,CLEAR,True,32.865,False,HYB-SEC,reroute
154,7.777,rain,False,3,equipment_failure_ahead,False,522,73,track_circuit,0.0,CLEAR,True,5.698,False,CHN-BGLR,proceed_with_caution
197,7.773,fog,True,2,water_logging,False,1423,86,vibration,0.0,CLEAR,True,11.929,True,KOL-HOW,reduce_speed
152,11.929,heavy_rain,True,5,broken_rail,False,1429,71,axle_counter,0.0,CLEAR,False,30.97,False,DEL-AGRA,reduce_speed
143,19.277,clear,False,5,environmental_false_positive,False,3646,62,axle_counter,0.0,OCCUPIED,True,1.635,False,KOL-HOW,proceed_with_caution
171,10.995,rain,True,2,equipment_failure_ahead,False,3015,69,track_circuit,76.0,CLEAR,False,5.121,False,MUM-PUNE,proceed_with_caution
160,5.256,flood,False,2,boulder,False,1951,26,vibration,86.1,CLEAR,True,10.331,False,DEL-AGRA,proceed_with_caution
197,10.775,heavy_rain,True,6,stranded_vehicle,False,4224,86,track_circuit,13.56,OCCUPIED,False,43.352,True,MUM-PUNE,reduce_speed
108,15.229,fog,False,5,sensor_miscount,False,3403,48,accelerometer,0.0,CLEAR,False,34.735,False,CHN-BGLR,proceed_with_caution
45,17.378,rain,False,2,broken_rail,False,2944,8,accelerometer,21.78,OCCUPIED,True,16.143,False,HYB-SEC,proceed_with_caution
169,15.766,heavy_rain,False,7,landslide_debris,True,3774,2,track_circuit,0.0,CLEAR,True,47.902,False,MUM-PUNE,reduce_speed
115,1.867,rain,True,2,environmental_false_positive,False,1365,6,accelerometer,0.0,CLEAR,True,4.759,False,DEL-AGRA,proceed_with_caution
158,0.186,clear,False,7,cattle_crossing,False,3923,9,axle_counter,0.0,CLEAR,True,14.963,False,MUM-PUNE,emergency_stop
62,10.61,fog,True,6,broken_rail,False,1755,80,axle_counter,91.99,OCCUPIED,True,5.023,False,HYB-SEC,reduce_speed
154,6.29,rain,True,4,boulder,True,4933,76,vibration,0.0,OCCUPIED,True,15.082,False,HYB-SEC,proceed_with_caution
58,15.676,rain,False,3,cattle_crossing,True,4102,81,track_circuit,0.0,OCCUPIED,False,6.599,False,HYB-SEC,proceed_with_caution
89,15.255,heavy_rain,False,7,landslide_debris,False,122,33,axle_counter,0.0,OCCUPIED,True,14.324,False,CHN-BGLR,proceed_with_caution
182,10.753,rain,True,2,boulder,False,1674,19,vibration,0.0,CLEAR,True,47.671,False,MUM-PUNE,proceed_with_caution
161,12.246,rain,True,6,environmental_false_positive,False,988,1,axle_counter,0.0,CLEAR,True,25.861,False,KOL-HOW,reduce_speed
113,14.659,clear,True,8,water_logging,False,2238,67,track_circuit,0.0,CLEAR,True,2.772,False,MUM-PUNE,reduce_speed
71,17.885,clear,False,2,unknown_obstruction,False,370,1,axle_counter,4.6,CLEAR,True,46.558,False,HYB-SEC,proceed_with_caution
152,4.49,fog,True,8,water_logging,True,648,73,vibration,0.0,CLEAR,False,49.071,False,DEL-AGRA,reduce_speed
124,6.546,snow,True,1,fallen_tree,True,2499,94,axle_counter,46.39,OCCUPIED,False,36.623,False,MUM-PUNE,reduce_speed
51,4.66,flood,True,7,landslide_debris,False,21,97,accelerometer,84.9,CLEAR,True,11.908,False,DEL-AGRA,proceed_with_caution
116,1.861,clear,False,8,signal_cable_theft,False,3061,58,track_circuit,0.0,CLEAR,True,29.595,True,MUM-PUNE,reduce_speed
125,18.521,clear,False,7,water_logging,False,2237,29,track_circuit,0.0,OCCUPIED,True,7.771,True,CHN-BGLR,reduce_speed
136,19.293,clear,True,4,stranded_vehicle,False,750,20,vibration,0.0,CLEAR,False,7.416,False,KOL-HOW,proceed_with_caution
121,5.203,clear,False,1,cattle_crossing,False,4564,95,axle_counter,0.0,OCCUPIED,True,0.598,False,MUM-PUNE,proceed_with_caution
140,13.726,snow,False,2,sensor_miscount,True,624,2,track_circuit,19.78,OCCUPIED,True,42.364,False,DEL-AGRA,proceed_with_caution
88,18.483,rain,True,6,broken_rail,True,3505,22,vibration,0.0,CLEAR,True,7.432,False,HYB-SEC,reduce_speed
150,17.656,clear,False,2,cattle_crossing,True,1643,82,axle_counter,0.0,OCCUPIED,False,17.956,False,CHN-BGLR,proceed_with_caution
127,7.768,heavy_rain,True,4,fallen_tree,True,2311,7,accelerometer,0.0,OCCUPIED,True,32.843,False,DEL-AGRA,reduce_speed
192,16.93,flood,False,4,track_buckling,True,4863,40,vibration,0.0,OCCUPIED,True,28.383,True,MUM-PUNE,proceed_with_caution
171,10.842,snow,True,1,landslide_debris,True,1802,2,accelerometer,0.0,OCCUPIED,True,8.873,False,KOL-HOW,reduce_speed
81,15.487,clear,False,7,boulder,False,3250,75,track_circuit,33.66,CLEAR,True,47.435,False,CHN-BGLR,reduce_speed
188,13.871,clear,False,7,fallen_tree,False,1446,48,vibration,73.4,CLEAR,False,47.439,False,CHN-BGLR,reduce_speed
190,0.648,snow,False,8,sensor_miscount,True,4642,13,accelerometer,0.0,CLEAR,False,8.394,False,DEL-AGRA,emergency_stop
130,8.933,fog,True,3,boulder,False,895,92,track_circuit,4.81,OCCUPIED,False,44.228,False,CHN-BGLR,reduce_speed
167,15.775,rain,True,6,fallen_tree,True,613,4,vibration,2.01,OCCUPIED,True,8.505,False,DEL-AGRA,reduce_speed
68,6.759,flood,False,8,unknown_obstruction,True,1361,77,accelerometer,0.0,CLEAR,False,20.464,False,HYB-SEC,reduce_speed
105,1.918,clear,False,5,broken_rail,True,2965,0,accelerometer,8.76,CLEAR,True,8.542,False,DEL-AGRA,reroute
146,9.419,clear,False,4,environmental_false_positive,False,1524,47,accelerometer,36.94,CLEAR,True,13.17,False,HYB-SEC,proceed_with_caution
69,1.714,snow,True,5,equipment_failure_ahead,False,4545,7,accelerometer,81.84,OCCUPIED,True,46.818,False,MUM-PUNE,reduce_speed
53,10.042,clear,False,7,environmental_false_positive,False,1217,15,accelerometer,0.0,OCCUPIED,False,6.309,False,CHN-BGLR,reduce_speed
82,16.682,snow,True,8,equipment_failure_ahead,True,3189,71,accelerometer,55.21,CLEAR,False,0.618,False,HYB-SEC,reduce_speed
151,2.993,rain,True,6,boulder,False,4619,99,track_circuit,78.57,OCCUPIED,True,32.739,False,CHN-BGLR,reroute
200,13.616,rain,True,4,water_logging,False,413,95,accelerometer,92.08,CLEAR,False,15.153,False,CHN-BGLR,proceed_with_caution
103,2.688,fog,False,5,water_logging,True,3424,77,track_circuit,0.0,OCCUPIED,True,24.223,False,KOL-HOW,reroute
85,1.312,heavy_rain,False,5,equipment_failure_ahead,False,4668,3,axle_counter,0.0,OCCUPIED,True,22.822,False,MUM-PUNE,emergency_stop
174,7.939,snow,False,6,fallen_tree,False,4876,57,axle_counter,96.05,CLEAR,True,8.176,False,DEL-AGRA,reduce_speed
86,17.076,rain,False,3,fallen_tree,False,1703,34,accelerometer,0.0,CLEAR,True,8.66,False,MUM-PUNE,proceed_with_caution
123,14.255,snow,False,4,cattle_crossing,False,3770,32,axle_counter,46.67,CLEAR,True,49.971,False,KOL-HOW,proceed_with_caution
117,5.97,heavy_rain,True,2,stranded_vehicle,False,2278,33,vibration,0.0,OCCUPIED,False,40.118,False,KOL-HOW,reduce_speed
172,19.949,fog,True,5,cattle_crossing,False,4786,90,axle_counter,0.0,CLEAR,True,23.787,False,KOL-HOW,reduce_speed
187,3.623,snow,True,2,stranded_vehicle,False,4589,97,axle_counter,94.69,CLEAR,True,11.166,False,CHN-BGLR,reduce_speed
111,11.711,rain,True,2,landslide_debris,False,4790,74,track_circuit,0.0,CLEAR,False,19.083,False,DEL-AGRA,proceed_with_caution
96,6.853,clear,False,8,broken_rail,True,1487,99,track_circuit,0.0,CLEAR,True,22.603,False,MUM-PUNE,reduce_speed
67,2.588,clear,False,5,cattle_crossing,False,3150,0,track_circuit,53.38,OCCUPIED,False,37.842,False,DEL-AGRA,proceed_with_caution
108,4.525,fog,False,4,boulder,False,4832,39,axle_counter,0.0,CLEAR,True,36.392,False,KOL-HOW,proceed_with_caution
79,6.855,fog,False,4,fallen_tree,True,3314,2,axle_counter,0.0,CLEAR,True,25.232,True,DEL-AGRA,proceed_with_caution
